Business Name,Health Score,Health Index,,,,,
JP Charlotte at Westin,0.354532558,2.5,,,,0,0
Frontier,0.309953571,2.5,,,,0.5,0
Portland Jerk,0.178902344,2.5,,,,1,5
All American Eyeglass Repair,0.27149,2.5,,,,1.5,20
Olives & Epices,0.2628,2.5,,,,2,228
Mesquite Bbq Catering,0.180171429,2.5,,,,2.5,1136
La Mer Rouge,0.2241625,2.5,,,,3,252
Blue Sky Nails & Spa,0.325766667,2.5,,,,3.5,44
Whistlestop Restaurant,0.343178571,2.5,,,,4,31
Hwy 55 Burgers Shakes & Fries,0.252178205,2.5,,,,4.5,12
Real Canadian Superstore,-0.195933333,2,,,,5,2
El Chullo Peruvian Restaurant & Bar,0.347629129,2.5,,,,,
Ace's Main Tap,0.566257143,3.5,,,,,
Sheetz,0.76145,4,,,,,
Jung Soo Nae,0.322986747,2.5,,,,,
Chang's Chinese Buffet,0.39964,3,,,,,
Yelp's Secret Cinema: Made In Arizona,0.437594444,3,,,,,
Fragapane Bakeries,0.278288525,2.5,,,,,
Caffeine,0.485425,3,,,,,
Yafo Kitchen,0.347167949,2.5,,,,,
Hue's Kitchen,0.204038855,2.5,,,,,
Walt's BBQ,0.272455,2.5,,,,,
Mango Thai,0.24478125,2.5,,,,,
Das Cafe,0.33252043,2.5,,,,,
Casino Job Center,0.1702,2.5,,,,,
Inaka Sushi,0.321777778,2.5,,,,,
Symposium Cafe Restaurant & Lounge,0.181885,2.5,,,,,
Anything For Baby Rental Service,0.70995,4,,,,,
Grill 4 U,0.278234091,2.5,,,,,
Maison de cari golden,0.251036364,2.5,,,,,
Bull & Barrister Draft House and Grille,0.078571212,2,,,,,
Shanghai Dim Sum,0.270195616,2.5,,,,,
Barrio Lounge,0.168947619,2.5,,,,,
La Cochonne Rit,0.302481818,2.5,,,,,
Fabulous Bar & Cafe,0.33846,2.5,,,,,
NutWhats,0.258676923,2.5,,,,,
My Big Fat Greek Restaurant,0.398906667,3,,,,,
Jang Won Restaurant,0.125402439,2.5,,,,,
2 Men and A Pizza,0.292610526,2.5,,,,,
Sloppi Jo's Roving Eatery,0.303014085,2.5,,,,,
Slim and Chubby's,0.262490909,2.5,,,,,
Maman Photography,0.7687,4,,,,,
Grainery Bakery & Deli,0.236425,2.5,,,,,
Gold's Gym,0.8176,4.5,,,,,
Pita Jungle,0.260156204,2.5,,,,,
Scottsdale Spice,0.0939,2,,,,,
O ' Sake,0.698833333,4,,,,,
Rock Rink,0.096185714,2,,,,,
Nibblers Catering,-0.058133333,2,,,,,
Bane Boys Burgers,0.1591,2.5,,,,,
Petits Gateaux,0.274282979,2.5,,,,,
Johnny Mango World Cafe & Bar,0.311367377,2.5,,,,,
Winners Sports Bar & Grill,0.060315493,2,,,,,
Gilbert Fireplaces & BBQ's,-0.34,1.5,,,,,
La Tradicion Restaurant,0.5059625,3,,,,,
Sunshine and Spice,0.256510909,2.5,,,,,
Aroma Restaurant,0.2342675,2.5,,,,,
Hospitality Suite Resort,0.225990909,2.5,,,,,
Manhattan Sandwichesss,0.055040909,2,,,,,
Nocochi,0.344518487,2.5,,,,,
Camarone's Cantina,0.190679365,2.5,,,,,
Quince,0.220706164,2.5,,,,,
Fox's Pizza Den,-0.087018182,2,,,,,
Cenci's Pizzeria & Bar-Wexford,0.182399425,2.5,,,,,
Warren's Jazz Bistro,0.1451625,2.5,,,,,
Fortitude Coffee,0.381661538,3,,,,,
Northwood,0.312887571,2.5,,,,,
New King Wah Chinese Buffet,0.36435,2.5,,,,,
Sakura Sushi,0.24407378,2.5,,,,,
YEE: School's Out for Summer @ PDQ,0.4362125,3,,,,,
Dazzling Modern Restaurant and Bar,0.229323429,2.5,,,,,
Pizza Patron,0.4159,3,,,,,
EZ Fitness,0.5055,3,,,,,
Pasta & Provisions,0.353357377,2.5,,,,,
Ripley's Aquarium of Canada,0.324211111,2.5,,,,,
Stoney's Rockin' Country,0,2,,,,,
Severino's Restaurant & Lounge,0.331992857,2.5,,,,,
Vino Rosso Bar & Restaurant,0.14026,2.5,,,,,
L'Gros Luxe Plateau,0.373182,3,,,,,
Michael Arthurs Pub,0.2123,2.5,,,,,
The New Yorker Deli,0.21670129,2.5,,,,,
The M Resort Race & Sports Book,0.511,3,,,,,
Hana Japanese Eatery,0.291280382,2.5,,,,,
Tommy V's Pastaria,0.266620238,2.5,,,,,
Guacamoles Fresh Mexican Grill,0.219076415,2.5,,,,,
Terrazza,0.309002632,2.5,,,,,
Saigon Sandwich Madison,0.276153061,2.5,,,,,
HoneyBaked Ham & Cafe,0.1382625,2.5,,,,,
Tokyo Sushi,0.2403,2.5,,,,,
The Mutt's Nuts,0,2,,,,,
Graeter's,0.240004167,2.5,,,,,
Seafood Center,0.226596,2.5,,,,,
Souper Market,0.315635496,2.5,,,,,
Youngtown Cafe,0.27613,2.5,,,,,
Stock Restaurant Bar & Lounge,0.28452449,2.5,,,,,
La Chamade,0.028333333,2,,,,,
Mexico Lindo,0.294179167,2.5,,,,,
Macy's,0.4754,3,,,,,
Grill Time Korean BBQ House,0.242005128,2.5,,,,,
Comfort Inn & Suites,0.109283333,2,,,,,
Hero Certified Burgers - Ray Lawson,0.210542857,2.5,,,,,
Bitz-ee Mama's,0.214960177,2.5,,,,,
Fresh Mint,0.316943089,2.5,,,,,
The Burger Cellar,0.249260234,2.5,,,,,
CoCo Fresh Juice & Tea,0.249031019,2.5,,,,,
Smitty's Kitchen,0.215088889,2.5,,,,,
Georgio's Oven Fresh Pizza,0.2672,2.5,,,,,
Jack's Pub,0.080530769,2,,,,,
Fat Tommy's Pizzeria,0.148255102,2.5,,,,,
Super Noodles,0.180554839,2.5,,,,,
Nineteen10,0.1935875,2.5,,,,,
Monterrey,0.239013125,2.5,,,,,
Wing Wah,0.24749,2.5,,,,,
Falafel World,0.21481,2.5,,,,,
Losbetos Mexican Food,0.267046154,2.5,,,,,
World Food Championships,0.457184615,3,,,,,
Bloor Superfresh,0.08808,2,,,,,
Zaytoon Persian Kitchen & Dessert Bar,0.135085714,2.5,,,,,
Jack in the Box,0.206961538,2.5,,,,,
Itz A Wrap,0.026957143,2,,,,,
Los Tarascos Tacos,0.258908333,2.5,,,,,
BJ's Restaurant & Brewhouse,0.245132714,2.5,,,,,
Souper Bowl,0.394470588,3,,,,,
Dylans Grill and Pub,0.308085,2.5,,,,,
Gracie's Diner,0.309766667,2.5,,,,,
Kali Vintage,0.5267,3,,,,,
City Bistro,0.181551429,2.5,,,,,
Anthony's Barber Shop,0.3057,2.5,,,,,
Sugar Factory,0.3712,3,,,,,
Pane E Vino,-0.46715,1.5,,,,,
Toddy Shop,0.333540449,2.5,,,,,
Lala Bistro,0.47959375,3,,,,,
Grigio,0.358216667,2.5,,,,,
Aren't We Sweet,0.3288,2.5,,,,,
Swiss Chalet Rotisserie & Grill,0.236251389,2.5,,,,,
Cineplex Odeon Varsity and Varsity Cinemas,0.02672381,2,,,,,
Kickshaw,0.193904348,2.5,,,,,
Filiberto's Mexican Food,0.190878261,2.5,,,,,
Chang Jiang Chinese Kitchen,0.22766,2.5,,,,,
Capriotti's Sandwich Shop,0.291231628,2.5,,,,,
Scottsdale Marriott at McDowell Mountains,0.5879,3.5,,,,,
Alamo Rent A Car,0.2732,2.5,,,,,
Famous Laffa,0.2548,2.5,,,,,
Trailsend Family Restaurant,0.176519231,2.5,,,,,
Bonnie Burrito,0.115783333,2,,,,,
TRU Burger Company,0.316926194,2.5,,,,,
Le Dejeuner Cosmopolitain,0.191716,2.5,,,,,
Ken Ho's Snack Service,0.147888889,2.5,,,,,
Conditorei,-0.9661,1,,,,,
Balmoral Fish & Chips,0.459553333,3,,,,,
Two Dads' Diner,0.255430303,2.5,,,,,
Java Coast Cafe,0.199940541,2.5,,,,,
Rumjungle,0.242252266,2.5,,,,,
Patati Patata,0.31785163,2.5,,,,,
Bob's Garden Centre,0.7871,4,,,,,
Wendy's,0.133845,2.5,,,,,
Las Vegas Mob Experience,0.9151,4.5,,,,,
Yonge Market 506,0.195375,2.5,,,,,
Sassoon Salon,0.4465,3,,,,,
Yip's Kitchen,0.1131,2,,,,,
Vince Seafood Restaurant & BBQ,0.282430928,2.5,,,,,
Volume Salon,0,2,,,,,
Taste of Italy Pizza,0.253733036,2.5,,,,,
Churrasqueira Vira's BBQ,-0.17975,2,,,,,
The Improper Pig,0.298066452,2.5,,,,,
Toronto Bread Company,0.48512,3,,,,,
Fireside Grill,0.162479412,2.5,,,,,
Rubens Chocolate,0.628033333,3.5,,,,,
Coldwater Golf Club,0.71054,4,,,,,
Sonic,0.28698,2.5,,,,,
Chuck's Roadhouse Bar and Grill,0.258254545,2.5,,,,,
Saveurs Thai,0.264112,2.5,,,,,
China Saute,0.208913333,2.5,,,,,
The Farm Sessions,0.3646,2.5,,,,,
McDonald's,-0.024214286,2,,,,,
Top O' The Mornin' Donut & Coffee Shop,0.323111538,2.5,,,,,
Jesters Mexican Grill,0.237643421,2.5,,,,,
Albertsons-Osco,0.3612,2.5,,,,,
Danny Mac's,0.216633333,2.5,,,,,
The Zenith,0.295317536,2.5,,,,,
Bashas',0.4506,3,,,,,
South East Gears & Cheers,0.288831579,2.5,,,,,
Crazy Mocha Coffee Company,0.2609,2.5,,,,,
Greek Street,0.308141667,2.5,,,,,
Solace Salon & Spa at the Rossean House,0.9565,5,,,,,
Armando's,0.076064151,2,,,,,
Twisters Soft Serve Ice Cream,0.166045,2.5,,,,,
JJ's Grubb Shack N Liquor,0.022655556,2,,,,,
TownPlace Suites,0.206533333,2.5,,,,,
Nadia's Restaurant & Grapevine Lounge,0.525024,3,,,,,
Thrifty Ice Cream,0.30354,2.5,,,,,
Coney Island Grill,0.135936667,2.5,,,,,
Priya Indian Restaurant,0.096897917,2,,,,,
Planet Sub,0.322339583,2.5,,,,,
Chester's BBQ,0.28705,2.5,,,,,
Sushi Omigoto,0.266975,2.5,,,,,
Center Bar,0.304325,2.5,,,,,
Spicy Tang,0.08140303,2,,,,,
Villager,0.383665318,3,,,,,
Jasmine,0.302202564,2.5,,,,,
Union Pig & Chicken,0.228177054,2.5,,,,,
LaserWash Group,-0.3568,1.5,,,,,
Galitos Flame Grilled Chicken,0.2075125,2.5,,,,,
MoMo's Kebab,0.344834384,2.5,,,,,
Kornerstones,0.213496429,2.5,,,,,
Pizza e Pazzi,0.295766667,2.5,,,,,
L'Oeufrier,0.335240237,2.5,,,,,
Asian Chao,0.13695,2.5,,,,,
The Purple Pig cafe,0.345,2.5,,,,,
East End Bistro & Pub,0.305725,2.5,,,,,
Salonsax,-0.7155,1.5,,,,,
Cafe St Germain,0.206529412,2.5,,,,,
Coffee & Tea Express,0.347025926,2.5,,,,,
Moxie Java,0.20775,2.5,,,,,
Village Martini & Wine Bar,0.281317241,2.5,,,,,
Gelato 64,0.421310714,3,,,,,
Elounda,0.323119118,2.5,,,,,
AJ Bambino,0.1382,2.5,,,,,
The Atlantic,0.281680851,2.5,,,,,
Sobeys,0.514833333,3,,,,,
Bonnie Springs Ranch Resort,0.301368293,2.5,,,,,
Boston's,0.213361538,2.5,,,,,
Speisekammer West,-0.5994,1.5,,,,,
Holiday Inn Express Las Vegas-Nellis,0.5975125,3.5,,,,,
King Wah,0.288803535,2.5,,,,,
E & R Sweetery,0.482572727,3,,,,,
BLT Steak,0.300218249,2.5,,,,,
3 Tomatoes & A Mozzarella,0.164114583,2.5,,,,,
Waterfalls Indian Tapas Bar & Grill,0.267143085,2.5,,,,,
Arlequino,0.167674194,2.5,,,,,
Chuck's Chicken Plus,0.325213115,2.5,,,,,
Boracay Massage,0.5859,3.5,,,,,
Shale Creek Golf Club,0.1414,2.5,,,,,
Two Scoops Creamery,0.3664655,2.5,,,,,
Bruster's Real Ice Cream,0.372019231,3,,,,,
Northside Farmers Market,0.29874375,2.5,,,,,
Lucky Season Cuisine,0.249418182,2.5,,,,,
Yuppdduk,0.28525,2.5,,,,,
Whole Foods Market,0.373480556,3,,,,,
Lescurier Tradition Gourmande,0.23712,2.5,,,,,
T.C. Eggington's,0.263677842,2.5,,,,,
Golden Vaughan,0.16561,2.5,,,,,
Phoenix Coffee,0.6588,3.5,,,,,
Katie's Kandy,0.290270833,2.5,,,,,
Anna's Linens,0,2,,,,,
Jack's New Yorker Deli,0.258219492,2.5,,,,,
Chong Qing Legend,0.258830909,2.5,,,,,
Chez Sophie,0.380053488,3,,,,,
Chesser Fish & Chips,0.0411,2,,,,,
Alexion's Bar & Grill,0.303238182,2.5,,,,,
Kashmir Valley,0.214765,2.5,,,,,
Shari's Rock & Roll Diner,0.228191892,2.5,,,,,
China Moon,0.083050877,2,,,,,
Mooyah,0.313378014,2.5,,,,,
Tomo Steakhouse & Sushi Bar,0.06288,2,,,,,
Emerald Island Casino,0.29964,2.5,,,,,
Silver Sage Wellness,0.27316,2.5,,,,,
Taxco Mexican Grill,0.21547563,2.5,,,,,
Sonic Drive-In,0.13938,2.5,,,,,
Any Direct Flight,-0.1409,2,,,,,
New Seaway Fish Market,0.280945833,2.5,,,,,
Hungry Howie's Pizza,0.236043529,2.5,,,,,
Wrapcity Gourmet,0.316458929,2.5,,,,,
Tai Pan,0.310819355,2.5,,,,,
Salads UP,0.260106818,2.5,,,,,
Massage 2go,0.2942,2.5,,,,,
Denny's,0.090215385,2,,,,,
