Business Name,Health Score,Health Index
Southern Cove,-0.8481,1
JP Charlotte at Westin,0.422064,3
Frontier,0.33093461538461544,2.5
Portland Jerk,0.20181704545454549,2.5
Caffeine,0.30806666666666666,2.5
Olives & Epices,0.23726000000000003,2.5
Symposium Cafe Restaurant & Lounge,0.16400182648401818,2.5
Ernesto's Auto Body Shop,-0.296,1.5
Blue Sky Nails & Spa,0.4753,3
Whistlestop Restaurant,0.3528875,2.5
Hwy 55 Burgers Shakes & Fries,0.19112828282828281,2.5
Real Canadian Superstore,0.6065333333333333,3.5
Ace's Main Tap,0.5810500000000001,3.5
Jung Soo Nae,0.2890651515151515,2.5
Honest Kitchen,0.26854999999999996,2.5
Yafo Kitchen,0.35201467116357515,2.5
Hue's Kitchen,0.22259127516778515,2.5
Walt's BBQ,0.3598181818181818,2.5
Mango Thai,0.3219066666666665,2.5
Das Cafe,0.3852940298507463,3
Fireside Grill,0.21201481481481482,2.5
Mesquite Bbq Catering,0.2349787234042553,2.5
Jesters Mexican Grill,0.313595,2.5
Grill 4 U,0.28424230769230774,2.5
Maison de cari golden,0.17114137931034482,2.5
Bull & Barrister Draft House and Grille,0.26143043478260874,2.5
Shanghai Dim Sum,0.23967008547008506,2.5
Barrio Lounge,0.21472790697674424,2.5
La Cochonne Rit,0.3208727272727273,2.5
La Mer Rouge,0.23461764705882354,2.5
Fabulous Bar & Cafe,0.3615727272727273,2.5
Village Martini & Wine Bar,0.2848157142857142,2.5
My Big Fat Greek Restaurant,0.1591,2.5
Jang Won Restaurant,0.10302758620689657,2
2 Men and A Pizza,0.28352727272727274,2.5
Sloppi Jo's Roving Eatery,0.29786408839779005,2.5
Chong Qing Legend,0.25935400000000003,2.5
Grainery Bakery & Deli,0.236425,2.5
Gold's Gym,0.6115,3.5
Pita Jungle,0.26538168604651147,2.5
O ' Sake,0.6733400000000002,3.5
Nibblers Catering,0.12090000000000001,2
Bane Boys Burgers,0.1591,2.5
Johnny Mango World Cafe & Bar,0.3335487261146498,2.5
Winners Sports Bar & Grill,0.058157142857142845,2
La Tradicion Restaurant,0.5245090909090909,3
Aroma Restaurant,0.27546419753086426,2.5
Nocochi,0.39131818181818195,3
Camarone's Cantina,0.1901542857142857,2.5
Quince,0.20379902912621373,2.5
Fox's Pizza Den,0.028444444444444446,2
Cenci's Pizzeria & Bar-Wexford,0.21681447368421056,2.5
Cheba Hut - Phoenix,0.31546842105263156,2.5
Fortitude Coffee,0.4210851851851853,3
Bon Appetit Cafe,0.19117499999999998,2.5
New King Wah Chinese Buffet,0.36435,2.5
Sakura Sushi,0.2384317241379311,2.5
YEE: School's Out for Summer @ PDQ,0.556537288135593,3
Dazzling Modern Restaurant and Bar,0.2426935897435897,2.5
Pasta & Provisions,0.45009473684210527,3
Ripley's Aquarium of Canada,0.0925,2
Severino's Restaurant & Lounge,0.3085409090909091,2.5
Vino Rosso Bar & Restaurant,0.11576086956521744,2
L'Gros Luxe Plateau,0.3687475247524753,3
Michael Arthurs Pub,0.21230000000000002,2.5
The New Yorker Deli,0.21501428571428569,2.5
Hana Japanese Eatery,0.3031171670515787,2.5
Tommy V's Pastaria,0.28217415730337075,2.5
Guacamoles Fresh Mexican Grill,0.2656408163265306,2.5
Terrazza,0.30276666666666663,2.5
Saigon Sandwich Madison,0.27161688311688315,2.5
HoneyBaked Ham & Cafe,0.3171,2.5
Tokyo Sushi,0.2583,2.5
The Mutt's Nuts,0.0,2
Graeter's,0.2521886363636364,2.5
Seafood Center,0.2119214285714286,2.5
Souper Market,0.348845930232558,2.5
Youngtown Cafe,0.32189999999999996,2.5
Stock Restaurant Bar & Lounge,0.2942502392344497,2.5
La Chamade,0.0,2
Mexico Lindo,0.6222,3.5
Macy's,0.4754,3
Grill Time Korean BBQ House,0.24161486486486491,2.5
Hero Certified Burgers - Ray Lawson,0.39217777777777774,3
Bitz-ee Mama's,0.11058085106382981,2
Fresh Mint,0.3437461538461542,2.5
Jazz 28,0.2627233333333333,2.5
CoCo Fresh Juice & Tea,0.23012926829268288,2.5
Smitty's Kitchen,0.45359230769230774,3
Jack's Pub,0.5856,3.5
Fat Tommy's Pizzeria,0.19449500000000003,2.5
Super Noodles,0.12619545454545456,2.5
Nineteen10,-0.11315,2
Monterrey,0.23768273381294955,2.5
Wing Wah,0.27324444444444446,2.5
Falafel World,0.3011732558139535,2.5
Losbetos Mexican Food,0.3015857142857143,2.5
Zaytoon Persian Kitchen & Dessert Bar,0.54405,3
Jack in the Box,0.2069615384615385,2.5
Itz A Wrap,0.06039499999999999,2
BJ's Restaurant & Brewhouse,0.23503347826086946,2.5
Souper Bowl,0.6547555555555555,3.5
Dylans Grill and Pub,0.2649333333333333,2.5
