Business Name,Health Score,Health Index
JP Charlotte at Westin,0.30612142857142854,2.5
Frontier,0.33037333333333335,2.5
Portland Jerk,0.21713949579831937,2.5
All American Eyeglass Repair,0.35362,2.5
Olives & Epices,0.3093166666666667,2.5
Symposium Cafe Restaurant & Lounge,0.16931085271317822,2.5
La Mer Rouge,0.12784375,2.5
Blue Sky Nails & Spa,0.27116666666666667,2.5
Whistlestop Restaurant,0.34317857142857144,2.5
Hwy 55 Burgers Shakes & Fries,0.2775350877192982,2.5
Real Canadian Superstore,0.34694545454545456,2.5
El Chullo Peruvian Restaurant & Bar,0.3413141414141412,2.5
Ace's Main Tap,0.5810500000000001,3.5
Jung Soo Nae,0.2879464285714286,2.5
Chang's Chinese Buffet,0.8176,4.5
Yelp's Secret Cinema: Made In Arizona,0.30660000000000004,2.5
Honest Kitchen,0.26719512195121947,2.5
Caffeine,0.30427000000000004,2.5
Parc Central,0.3368396226415094,2.5
Hue's Kitchen,0.21910551724137917,2.5
Walt's BBQ,0.2349294117647059,2.5
Mango Thai,0.3788487804878048,3
Das Cafe,0.34956444444444446,2.5
Casino Job Center,0.17020000000000002,2.5
Fireside Grill,0.2010055555555555,2.5
Mesquite Bbq Catering,0.24877916666666666,2.5
Jesters Mexican Grill,0.2616176470588236,2.5
Grill 4 U,0.47188571428571435,3
Maison de cari golden,0.23465000000000003,2.5
Bull & Barrister Draft House and Grille,0.10999047619047617,2
Shanghai Dim Sum,0.2573720207253883,2.5
Barrio Lounge,0.20213461538461536,2.5
La Cochonne Rit,0.29413333333333336,2.5
Fabulous Bar & Cafe,0.3615727272727273,2.5
Village Martini & Wine Bar,0.29961538461538456,2.5
My Big Fat Greek Restaurant,0.1591,2.5
Jang Won Restaurant,0.022641176470588224,2
2 Men and A Pizza,0.32214782608695647,2.5
Sloppi Jo's Roving Eatery,0.2968072340425534,2.5
Slim and Chubby's,0.3423090909090909,2.5
Chong Qing Legend,0.25463846153846154,2.5
Grainery Bakery & Deli,0.28982,2.5
Pita Jungle,0.24769933993399335,2.5
Scottsdale Spice,0.6973,4
Rock Rink,0.04192222222222223,2
Nibblers Catering,-0.058133333333333335,2
Bane Boys Burgers,0.1591,2.5
Petits Gateaux,0.22865476190476192,2.5
Playmatters Toys,0.6440666666666667,3.5
Johnny Mango World Cafe & Bar,0.34477005347593603,2.5
Winners Sports Bar & Grill,0.05746909090909091,2
Gilbert Fireplaces & BBQ's,0.14245,2.5
La Tradicion Restaurant,0.50255,3
Aroma Restaurant,0.26809240506329124,2.5
Manhattan Sandwichesss,0.0,2
Nocochi,0.36297017543859644,2.5
Camarone's Cantina,0.1355803921568627,2.5
Quince,0.19158923076923082,2.5
Fox's Pizza Den,0.032,2
Cenci's Pizzeria & Bar-Wexford,0.2100682926829269,2.5
Cheba Hut - Phoenix,0.31004861111111115,2.5
Fortitude Coffee,0.4020676470588235,3
Relics on 5th,0.5501,3
New King Wah Chinese Buffet,0.36435,2.5
Yafo Kitchen,0.33727292724196273,2.5
Sakura Sushi,0.2867641618497109,2.5
YEE: School's Out for Summer @ PDQ,0.4597557142857143,3
Dazzling Modern Restaurant and Bar,0.24395362318840577,2.5
Pizza Patron,0.2716857142857143,2.5
Ripley's Aquarium of Canada,0.0,2
Stoney's Rockin' Country,0.0,2
Severino's Restaurant & Lounge,0.27918571428571426,2.5
Vino Rosso Bar & Restaurant,0.16590405405405406,2.5
L'Gros Luxe Plateau,0.3545465346534653,2.5
Michael Arthurs Pub,0.31845,2.5
The New Yorker Deli,0.23113767123287676,2.5
Hana Japanese Eatery,0.29584321977287953,2.5
Tommy V's Pastaria,0.26412093023255817,2.5
Guacamoles Fresh Mexican Grill,0.2708166666666666,2.5
Terrazza,0.30612407407407405,2.5
Saigon Sandwich Madison,0.25330500000000006,2.5
HoneyBaked Ham & Cafe,0.13083749999999997,2.5
Tokyo Sushi,0.2583,2.5
The Mutt's Nuts,0.0,2
Graeter's,0.24639999999999998,2.5
Seafood Center,0.24313333333333334,2.5
Souper Market,0.3335681564245808,2.5
Youngtown Cafe,0.24721,2.5
Stock Restaurant Bar & Lounge,0.31767303370786504,2.5
La Chamade,0.0,2
Mexico Lindo,0.28664285714285714,2.5
Grill Time Korean BBQ House,0.23926321839080467,2.5
Comfort Inn & Suites,0.023114285714285723,2
Hero Certified Burgers - Ray Lawson,0.15768,2.5
Bitz-ee Mama's,0.1864283783783784,2.5
Fresh Mint,0.3183775808133478,2.5
The Burger Cellar,0.26233982683982665,2.5
CoCo Fresh Juice & Tea,0.23585416666666661,2.5
Smitty's Kitchen,0.4094,3
Kohl's,0.6597,3.5
Jack's Pub,0.5077,3
Fat Tommy's Pizzeria,0.34029411764705886,2.5
Super Noodles,-0.06023749999999999,2
Nineteen10,-0.11315,2
Monterrey,0.2657007194244604,2.5
Wing Wah,0.264940909090909,2.5
Vons,0.1797,2.5
Falafel World,0.29655698924731194,2.5
Losbetos Mexican Food,0.2804428571428571,2.5
World Food Championships,0.40729999999999994,3
Jack in the Box,0.4038888888888889,3
Itz A Wrap,0.03970384615384614,2
Los Tarascos Tacos,0.34685,2.5
BJ's Restaurant & Brewhouse,0.2560224215246636,2.5
Souper Bowl,0.5268599999999999,3
Dylans Grill and Pub,0.6986666666666667,4
Gracie's Diner,0.2459,2.5
Kali Vintage,0.5758,3.5
City Bistro,0.1420709677419355,2.5
Sugar Factory,0.3405857142857142,2.5
Best Wishes,0.4287,3
Toddy Shop,0.3462425373134328,2.5
Lala Bistro,0.5372846153846154,3
Aren't We Sweet,0.29072000000000003,2.5
Swiss Chalet Rotisserie & Grill,0.2788,2.5
Cineplex Odeon Varsity and Varsity Cinemas,0.10493999999999999,2
Kickshaw,0.19368636363636363,2.5
Filiberto's Mexican Food,0.19232368421052634,2.5
Chang Jiang Chinese Kitchen,0.2838083333333334,2.5
Capriotti's Sandwich Shop,0.3028231707317071,2.5
Bulk Barn,0.2871125,2.5
